AVENUE D,CALIFORNIA AVE,[]
BARNEVELD AVE,INDUSTRIAL ST \ SHAFTER AVE,[]
BAYVIEW CIR,NEWHALL ST,[]
BOCANA ST,ELLERT ST,[]
BOSWORTH ST,HAMERTON AVE,[]
06TH ST \ I-280 NORTHBOUND \ I-280 SOUTHBOUND,BRANNAN ST,[]
BREEN PL,MCALLISTER ST,[]
BRENTWOOD AVE,MANGELS AVE,[]
BREWSTER ST,MULLEN AVE,[]
BRODERICK ST,SUTTER ST,[]
BROMPTON AVE,CHENERY ST,[]
BROOKHAVEN LN,HUNTINGTON DR,[]
BRUNSWICK ST,CURTIS ST,[]
BRUSSELS ST,MANSELL ST,[]
BRUSSELS ST,ORDWAY ST,[]
BURROWS ST,MANSFIELD ST,[]
BUSH ST,WEBSTER ST,[]
CAMERON WAY,GRIFFITH ST,[]
CASTRO ST,SURREY ST,[]
CAYUGA AVE,SHAWNEE AVE,[]
CHERRY ST,CLAY ST,[]
CHRISTMAS TREE POINT RD,TWIN PEAKS BLVD,[]
CLINTON PARK,GUERRERO ST,[]
COLON AVE,MONTEREY BLVD,[]
CONNECTICUT ST,WISCONSIN ST,[]
CORDOVA ST,SEVILLE ST,[]
CORTLAND AVE,PRENTISS ST,[]
COSMO PL,JONES ST,[]
COTTER ST,SAN JOSE AVE,[]
DANIEL BURNHAM CT,FRANKLIN ST,[]
DARTMOUTH ST,DWIGHT ST,[]
DE HARO ST,FONTINELLA TER,[]
DELTA ST,HARKNESS AVE,[]
CLAREMONT BLVD \ KENSINGTON WAY \ MONTALVO AVE \ TARAVAL ST,DEWEY BLVD,[]
DIAMOND ST,UNNAMED 026,[]
DIVISADERO ST,GROVE ST,[]
DONAHUE ST,PULASKI AVE,[]
DORCAS WAY,STANFORD HEIGHTS AVE,[]
DORMITORY RD,JERROLD AVE \ NORTHRIDGE RD,[]
DUBOCE AVE,WALTER ST,[]
EDNA ST,HAVELOCK ST,[]
EDNA ST,MARSTON AVE,[]
EUCALYPTUS DR,JUNIPERO SERRA BLVD \ OCEAN AVE,[]
EUCALYPTUS DR,JUNIPERO SERRA BLVD,[]
EUCALYPTUS DR,GLADIOLUS LN,[]
EUCALYPTUS DR,MELBA AVE,[]
EUCALYPTUS DR,INVERNESS DR,[]
EUCALYPTUS DR,FOREST VIEW DR,[]
EUCALYPTUS DR,MEADOWBROOK DR,[]
EUCALYPTUS DR,SYLVAN DR,[]
